Place,Picture,Ranking,Score,Address,Comments
世界之窗,https://dimg07.c-ctrip.com/images/10011f000001h37663BA9_C_220_140.jpg,第1名,4.4,深圳市南山区华侨城深南大道9037号,(25439条点评)
东部华侨城,https://dimg08.c-ctrip.com/images/10031f000001gs0k863F3_C_220_140.jpg,第2名,4.5,深圳市盐田区大梅沙东部华侨城,(15491条点评)
深圳欢乐谷,https://dimg02.c-ctrip.com/images/100710000000pvb9m9D1B_C_220_140.jpg,第3名,4.5,深圳市南山区华侨城侨城西路,(12472条点评)
深圳平安金融中心云际观光层,https://dimg02.c-ctrip.com/images/0106912000816uvcj5A16_C_220_140.jpg,第4名,4.9,深圳市福田区益田路5033号平安金融中心116层,(7208条点评)
锦绣中华民俗村,https://dimg07.c-ctrip.com/images/fd/tg/g4/M05/D3/50/CggYHlbmLA6AGOBGAC_LRk_Fo_0382_C_220_140.jpg,第5名,4.6,深圳市南山区深南大道中段西端华侨城,(9969条点评)
深圳野生动物园,https://dimg02.c-ctrip.com/images/100710000000pshw82A96_C_220_140.jpg,第6名,4.5,深圳市南山区西丽湖东侧,(7776条点评)
大梅沙海滨公园,https://dimg01.c-ctrip.com/images/fd/tg/g3/M09/35/86/CggYGVXDJXeAREhfAEpkQFBfAGo205_C_220_140.jpg,第7名,4.4,深圳市盐田区盐葵路大梅沙段148号,(1300条点评)
莲花山公园,https://dimg06.c-ctrip.com/images/100p1f000001gpcyu860A_C_220_140.jpg,第8名,4.6,深圳市福田区红荔路6030号,(851条点评)
小梅沙海洋世界,https://dimg05.c-ctrip.com/images/100q1f000001grkck111B_C_220_140.jpg,第9名,4.4,深圳市盐田区小梅沙海滨旅游区,(6239条点评)
红树林,https://dimg07.c-ctrip.com/images/100n1f000001gp9z8E948_C_220_140.jpg,第10名,4.5,深圳市福田区滨河大道,(787条点评)
小梅沙,https://dimg01.c-ctrip.com/images/100w1800000144ykw49F1_C_220_140.jpg,第11名,4.2,深圳市盐田区大鹏湾畔小梅沙,(928条点评)
仙湖植物园,https://dimg07.c-ctrip.com/images/100e1f000001gt2ds8EED_C_220_140.jpg,第12名,4.5,深圳市罗湖区仙湖路160号仙湖植物园,(479条点评)
东部华侨城大侠谷,https://dimg08.c-ctrip.com/images/10021h000001hs3be9A31_C_220_140.jpg,第13名,4.3,深圳市盐田区大梅沙东部华侨城内,(1921条点评)
海上世界,https://dimg02.c-ctrip.com/images/1005060000001vnvn07F9_C_220_140.jpg,第14名,4.5,深圳市南山区招商街道蛇口望海路1128号,(502条点评)
西冲,https://dimg06.c-ctrip.com/images/fd/tg/g4/M05/04/56/CggYHlXdUl2AUG9rAA31ZWo-YPA125_C_220_140.jpg,第15名,4.3,深圳市龙岗区南澳镇,(815条点评)
东门老街,https://dimg02.c-ctrip.com/images/100b1f000001gsoa6993B_C_220_140.jpg,第16名,4.4,深圳市罗湖区,(783条点评)
罗湖口岸,https://dimg04.c-ctrip.com/images/100c1f000001gsz2d2813_C_220_140.jpg,第17名,4.4,深圳市罗湖区人民南路,(415条点评)
大鹏所城,https://dimg01.c-ctrip.com/images/100o1f000001gp36q9480_C_220_140.jpg,第18名,4.3,深圳市龙岗区南门东路,(388条点评)
